time_s,X_g,Y_g,Z_g
0.000000000,0.003831458,0.044256538,1.003546839
0.005000000,0.054720128,-0.026478609,1.007077464
0.010000000,-0.029448062,0.014355685,1.011742216
0.015000000,0.013842293,-0.054224459,1.007034852
0.020000000,0.079997414,-0.028684427,1.012568093
0.025000000,-0.045053338,0.024313175,1.000593359
0.030000000,0.033448125,-0.021005272,1.006617411
0.035000000,0.002629206,0.014998432,1.007724061
0.040000000,-0.008719554,0.010757609,0.998832189
0.045000000,0.040853138,0.026633013,1.012350982
0.050000000,-0.006242370,-0.007068558,1.004539899
0.055000000,-0.027120447,0.014880500,1.004869034
0.060000000,-0.015563684,0.041658007,1.010386953
0.065000000,0.010703227,-0.020245408,1.011766025
0.070000000,-0.027347909,-0.016358818,1.003601236
0.075000000,-0.012956802,-0.044761241,1.004974616
0.080000000,0.017219385,0.010045627,1.017767882
0.085000000,0.060490727,0.051126113,1.008174707
0.090000000,0.028405984,-0.028431699,1.008800187
0.095000000,-0.022403052,0.001245839,0.999533294
0.100000000,-0.012284868,0.047799066,1.007558116
0.105000000,-0.031098102,0.006776115,1.020929524
0.110000000,0.020545017,0.007640738,1.002565091
0.115000000,0.067671700,-0.005699051,1.005334600
0.120000000,0.039185670,-0.057143318,1.015303008
0.125000000,0.020373482,0.000755704,0.996926201
0.130000000,0.023018472,0.048187941,0.999128290
0.135000000,-0.051717092,0.003784834,1.008222580
0.140000000,-0.001585030,-0.013398167,0.993988812
0.145000000,0.008829534,-0.018880399,1.010124656
0.150000000,-0.070722135,-0.027688725,1.005810855
0.155000000,0.036055455,-0.005879707,1.001367470
0.160000000,0.046598158,-0.038964678,1.014964587
0.165000000,0.003421878,0.000659977,1.000757381
0.170000000,-0.045252712,0.072151974,1.007843570
0.175000000,0.008614077,-0.062314872,1.005761861
0.180000000,0.026468229,-0.034756470,1.007973475
0.185000000,-0.049019985,0.047621738,1.002087129
0.190000000,0.035922107,-0.065650362,0.998350400
0.195000000,-0.039142042,-0.041067798,1.009277017
0.200000000,-0.019239789,0.041333984,0.997972543
0.205000000,0.069618377,0.032361148,1.006881926
0.210000000,-0.016263509,0.031658928,1.009408896
0.215000000,0.044579327,0.008869583,1.006634854
0.220000000,0.060024030,-0.061657587,1.004619811
0.225000000,-0.048173318,-0.028438864,0.995983062
0.230000000,-0.037971227,-0.007321888,1.002285790
0.235000000,0.046326161,-0.027756822,1.003165300
0.240000000,0.017331512,0.034853729,1.003933263
0.245000000,-0.017729488,0.007454585,1.011454582
0.250000000,0.026409984,-0.047903707,1.009806627
0.255000000,-0.002403565,-0.014002870,1.007384211
0.260000000,-0.000481703,0.043177733,1.007043609
0.265000000,0.027308743,-0.007882517,1.001336614
0.270000000,-0.012834911,-0.022128511,1.016570540
0.275000000,0.013937912,0.013709602,1.010852785
0.280000000,-0.002851195,-0.033481433,1.004450132
0.285000000,-0.060050442,0.008763613,1.008360687
0.290000000,0.012646895,0.010527262,1.006188242
0.295000000,0.071072876,0.014603203,1.011452989
0.300000000,0.019515581,0.014697625,0.994486575
0.305000000,-0.066237897,-0.049201562,1.008448286
0.310000000,-0.049594678,0.012544230,1.007386433
0.315000000,0.025157575,0.024061603,1.002650928
0.320000000,0.016415442,-0.026235227,1.010712987
0.325000000,-0.015203252,-0.022969554,0.999718290
0.330000000,-0.004123587,-0.012102390,1.012053742
0.335000000,0.008150735,0.034516328,0.989840320
0.340000000,0.038287423,0.054239891,1.003163539
0.345000000,0.020516265,-0.047506042,1.025734309
0.350000000,-0.075824708,-0.019536382,1.003089613
0.355000000,0.012960363,0.060183003,1.009420322
0.360000000,0.073516288,-0.042267464,1.007227705
0.365000000,0.022203377,0.022499248,0.998055264
0.370000000,0.031471796,0.056088516,1.002296915
0.375000000,-0.005830047,-0.059112247,1.000468443
0.380000000,-0.031520949,-0.008130541,1.008560490
0.385000000,-0.041354227,-0.033640651,1.014485478
0.390000000,0.022483856,-0.037537933,1.002189778
0.395000000,0.035311891,0.047697677,1.008604376
0.400000000,0.002926214,0.015403383,0.999917485
0.405000000,0.035355010,0.007912859,0.989261766
0.410000000,-0.022008894,-0.065309352,1.012979501
0.415000000,-0.034417502,-0.050945770,1.012696773
0.420000000,0.000260389,0.058220097,1.015305058
0.425000000,0.040154126,-0.020966668,1.018403293
0.430000000,0.014614488,-0.027054713,1.004691552
0.435000000,-0.035356832,0.007425388,0.997125098
0.440000000,0.040459218,0.018764527,1.007235543
0.445000000,0.028042364,-0.012053660,1.014995411
0.450000000,-0.033774162,-0.028899034,1.004510547
0.455000000,-0.016963220,0.050648242,1.008371002
0.460000000,-0.005140242,-0.024864876,0.999008533
0.465000000,0.021359358,-0.025955556,1.002367469
0.470000000,-0.003152391,0.015086298,1.009272890
0.475000000,-0.004760979,0.003827163,1.013145717
0.480000000,0.039871636,0.012180793,1.015757094
0.485000000,0.021071287,-0.043808056,0.992066632
0.490000000,0.055180692,0.009043542,1.011903109
0.495000000,0.008937640,0.010616083,1.014064320
0.500000000,-0.053354436,-0.002825997,0.991045657
0.505000000,-0.009199045,0.013929074,1.002695706
0.510000000,0.017962296,-0.003897827,1.002562090
0.515000000,0.025191873,0.049204521,1.013682220
0.520000000,-0.008260606,-0.010304519,1.014712055
