time_s,X_g,Y_g,Z_g
0.000000000,-0.001320162,0.047024807,1.002890221
0.005000000,0.063732808,-0.022071457,1.008415980
0.010000000,-0.029070897,0.013260438,1.012002140
0.015000000,0.002965366,-0.061452831,1.008589921
0.020000000,0.083838953,-0.044372281,1.016763517
0.025000000,-0.054098607,0.014396949,1.000892998
0.030000000,0.028418149,-0.024980362,1.007597236
0.035000000,0.010954532,0.013241306,1.009007586
0.040000000,-0.022639932,-0.000529984,0.998162104
0.045000000,0.038133452,0.016426228,1.013251874
0.050000000,-0.000409071,-0.012643040,1.006030339
0.055000000,-0.030989808,0.006670362,1.004826736
0.060000000,-0.024164692,0.042300675,1.010057660
0.065000000,0.001205841,-0.022099910,1.012815601
0.070000000,-0.032219755,-0.021356385,1.004344615
0.075000000,-0.016312713,-0.051703782,1.005270802
0.080000000,0.017624028,-0.003606437,1.018706290
0.085000000,0.060747235,0.050277672,1.008987882
0.090000000,0.025145046,-0.029817671,1.010686408
0.095000000,-0.025656036,-0.010429492,1.000071226
0.100000000,-0.013883333,0.040097665,1.005790760
0.105000000,-0.044672286,0.004532596,1.021023724
0.110000000,0.004364749,0.005176468,1.004228623
0.115000000,0.066544580,-0.011737120,1.007390652
0.120000000,0.038016476,-0.070541237,1.018545474
0.125000000,0.028764269,-0.016202121,0.998423016
0.130000000,0.040553553,0.043014702,0.999960281
0.135000000,-0.061985327,0.007103365,1.007485879
0.140000000,-0.020453429,-0.011300878,0.993262963
0.145000000,0.008105387,-0.024898316,1.010327719
0.150000000,-0.085150536,-0.046966401,1.005591879
0.155000000,0.020644182,-0.016209214,1.001531534
0.160000000,0.050037082,-0.041843802,1.017782566
0.165000000,0.007075821,-0.012972264,1.002089003
0.170000000,-0.037950365,0.070953071,1.007504231
0.175000000,0.012113882,-0.051814369,1.006466184
0.180000000,0.019587795,-0.042719742,1.009208068
0.185000000,-0.065879345,0.034407919,1.001421591
0.190000000,0.032301036,-0.075523915,0.999138697
0.195000000,-0.046930622,-0.059976219,1.009190893
0.200000000,-0.037803315,0.025692154,0.997463079
0.205000000,0.079611678,0.032741248,1.008700143
0.210000000,-0.016160461,0.037820801,1.010464213
0.215000000,0.032566362,0.014024252,1.008274782
0.220000000,0.071250106,-0.069922704,1.008327442
0.225000000,-0.047972171,-0.050760100,0.996257860
0.230000000,-0.052051103,-0.019246770,1.001037343
0.235000000,0.039619802,-0.028193897,1.004595437
0.240000000,0.006640714,0.034075291,1.003475196
0.245000000,-0.029477326,0.006046174,1.011350191
0.250000000,0.030433391,-0.054014978,1.011767055
0.255000000,-0.003285523,-0.030994060,1.008562847
0.260000000,-0.005893008,0.032399769,1.008193784
0.265000000,0.032311381,-0.004721710,1.002190303
0.270000000,-0.020502476,-0.026587678,1.015476111
0.275000000,0.000945357,0.004565440,1.011715440
0.280000000,0.001002077,-0.046724759,1.006301239
0.285000000,-0.058592831,-0.001658244,1.008362092
0.290000000,-0.000042637,0.006532308,1.006588584
0.295000000,0.064429940,0.009085338,1.014135515
0.300000000,0.023391207,0.014202772,0.995482467
0.305000000,-0.060761291,-0.054970342,1.007396047
0.310000000,-0.051003486,0.003574785,1.007360011
0.315000000,0.012351878,0.021255961,1.003090588
0.320000000,0.000003460,-0.032969968,1.012532377
0.325000000,-0.015666817,-0.030640311,0.999404624
0.330000000,0.005929969,-0.020866470,1.012694191
0.335000000,0.000200246,0.024403825,0.991056471
0.340000000,0.025244965,0.058634343,1.001558250
0.345000000,0.023064018,-0.043713995,1.027787707
0.350000000,-0.081107565,-0.042523320,1.003353938
0.355000000,0.004434139,0.044143176,1.010959527
0.360000000,0.072816341,-0.046458224,1.010468425
0.365000000,0.016646181,0.018610699,0.998209885
0.370000000,0.032088963,0.064012114,1.003060063
0.375000000,-0.000100707,-0.060819569,1.000972618
0.380000000,-0.036066302,-0.022275064,1.008491552
0.385000000,-0.056674746,-0.052404588,1.015630499
0.390000000,0.012212865,-0.052804260,1.004180171
0.395000000,0.035525938,0.048273796,1.009709119
0.400000000,-0.004014031,0.016010382,1.000964488
0.405000000,0.037819993,0.011121688,0.989300316
0.410000000,-0.015612660,-0.070498770,1.012547582
0.415000000,-0.043963602,-0.075868285,1.013115692
0.420000000,-0.013216884,0.044561160,1.015169800
0.425000000,0.031914999,-0.019399403,1.021142531
0.430000000,0.017739190,-0.025441066,1.007541307
0.435000000,-0.035132059,-0.004864040,0.996707424
0.440000000,0.039772428,0.007650693,1.007762343
