fc_hz,X_nominal_gain_reader_over_base,Y_nominal_gain_reader_over_base,Z_nominal_gain_reader_over_base,X_nominal_phase_deg,Y_nominal_phase_deg,Z_nominal_phase_deg,note
4.0,0.94,1.06,1.02,-1.0,1.0,0.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
5.0,0.931304347826087,1.0773913043478263,1.011304347826087,-1.4347826086956523,1.4347826086956523,-0.4347826086956522,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
6.3,0.92,1.1,1.0,-2.0,2.0,-1.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
8.0,0.95,1.08,0.98,-3.0,3.0,-1.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
10.0,1.0,1.0,0.96,-4.0,2.0,-2.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
12.5,1.08,0.82,1.02,-5.0,-4.0,-3.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
16.0,1.2,0.88,1.08,-7.0,-5.0,-4.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
20.0,1.48,1.02,1.18,-12.0,-7.0,-6.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
25.0,1.24,1.2,1.12,-10.0,-9.0,-6.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
31.5,0.98,1.38,1.04,-8.0,-13.0,-5.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
40.0,0.76,1.18,0.95,-6.0,-10.0,-4.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
50.0,0.84,0.86,0.9,-5.0,-7.0,-4.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
63.0,1.28,0.92,1.02,-8.0,-6.0,-5.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
80.0,1.05,1.1,1.06,-6.0,-5.0,-5.0,"Nominal axis transfer before cross-axis coupling, mounting rotation, bias and added noise."
